index,AGEB,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
2231,1467,1901.0,111.0,9.836829268292682,1.447560975609756,704.0,0.6575609756097561,2.318048780487805,517.0,397.0,158.0
2273,1471,28.0,3.0,13.233333333333334,0.79,11.0,0.645,2.7416666666666667,33.0,30.0,5.0
2280,1486,95.0,0.0,7.992,2.548,41.0,1.6620000000000001,3.504,25.0,102.0,16.0
2288,1503,122.0,0.0,12.535,1.4674999999999998,54.0,0.8175,2.6225,27.0,52.0,7.0
2293,1518,57.0,3.0,10.41,1.54,20.0,1.04,3.35,9.0,23.0,3.0
2295,1522,149.0,13.0,8.91,2.226,41.0,1.374,4.422,39.0,56.0,25.0
2301,1537,704.0,41.0,12.82125,1.61375,248.0,0.89625,3.13375,176.0,250.0,88.0
2310,1541,33.0,0.0,10.065,1.04,15.0,0.9,2.2424999999999997,0.0,112.0,0.0
2315,1556,541.0,8.0,9.168387096774195,1.4316129032258065,215.0,0.9729032258064516,3.00258064516129,96.0,259.0,55.0
2347,1560,245.0,0.0,12.3575,1.46,88.0,0.9775,3.1625,55.0,92.0,33.0
2361,158A,446.0,8.0,6.3912903225806454,1.8564516129032258,253.0,0.9690322580645161,1.997741935483871,23.0,226.0,44.0
2422,1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2758,6006,4685.0,397.0,9.555526315789473,2.025,1719.0,0.81,3.0886842105263157,685.0,1327.0,435.0
2797,6010,3494.0,430.0,9.436511627906976,2.106511627906977,1291.0,0.7916279069767441,2.9997674418604654,472.0,1111.0,291.0
2841,6025,1559.0,218.0,14.34909090909091,1.3822727272727273,665.0,0.5272727272727272,2.5713636363636363,529.0,637.0,123.0
2913,7377,3029.0,230.0,7.908269230769231,2.098076923076923,1054.0,1.020576923076923,3.0869230769230773,328.0,1076.0,371.0
2966,7432,3635.0,161.0,9.114666666666666,1.916,1108.0,0.9597777777777777,3.3211111111111107,470.0,1172.0,380.0
3012,7447,891.0,139.0,8.099677419354839,1.6970967741935483,281.0,0.73,3.0393548387096776,153.0,334.0,66.0
3044,7451,1260.0,136.0,10.627142857142857,1.8367857142857142,463.0,0.7303571428571428,3.0035714285714286,273.0,472.0,77.0
3073,749A,1116.0,86.0,7.958636363636364,1.9845454545454544,375.0,0.9322727272727271,2.9299999999999997,137.0,484.0,159.0
3114,7625,216.0,47.0,7.734999999999999,0.76,175.0,0.2888888888888889,1.1933333333333334,112.0,132.0,0.0
