index,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
412,0577,9,103.0,11.0,12.55,1.56,43.0,0.6,2.86,23.0,32.0,8.0
413,0577,10,34.0,7.0,12.07,2.07,18.0,0.52,2.83,8.0,9.0,3.0
414,0577,11,27.0,7.0,13.74,1.42,11.0,0.49,2.7,6.0,4.0,3.0
415,0577,12,22.0,14.0,13.0,0.28,6.0,0.32,2.0,3.0,15.0,0.0
416,0577,13,34.0,13.0,10.59,1.78,12.0,0.55,3.09,5.0,21.0,0.0
417,0577,14,32.0,6.0,12.54,2.18,15.0,0.49,2.91,8.0,8.0,0.0
418,0577,15,25.0,6.0,12.65,2.2,11.0,0.51,2.78,7.0,6.0,0.0
419,0577,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,0577,17,34.0,9.0,14.59,1.94,14.0,0.57,2.83,11.0,12.0,3.0
421,0577,18,30.0,9.0,15.38,1.55,17.0,0.51,2.5,8.0,10.0,3.0
422,0577,19,37.0,3.0,14.07,1.95,17.0,0.59,3.08,11.0,4.0,3.0
423,0577,20,31.0,8.0,10.81,2.25,13.0,0.55,3.1,6.0,13.0,0.0
424,0577,21,55.0,14.0,12.16,2.18,26.0,0.54,2.39,13.0,26.0,0.0
425,0577,22,12.0,3.0,10.5,2.71,6.0,0.44,2.4,4.0,26.0,0.0
426,0577,23,15.0,5.0,13.57,2.89,8.0,0.27,2.14,5.0,7.0,0.0
427,0577,24,28.0,6.0,12.48,1.62,24.0,0.43,2.55,8.0,9.0,0.0
428,0577,25,58.0,8.0,10.96,2.04,21.0,0.64,2.9,10.0,10.0,0.0
429,0577,26,31.0,4.0,13.71,1.5,10.0,0.63,3.44,8.0,10.0,0.0
430,0577,27,58.0,4.0,13.14,1.77,31.0,0.62,2.9,16.0,22.0,8.0
431,0577,28,12.0,4.0,9.42,1.0,6.0,0.44,2.4,3.0,4.0,0.0
432,0577,29,111.0,4.0,14.29,1.38,47.0,0.62,2.78,32.0,35.0,6.0
433,0577,32,39.0,5.0,14.48,1.74,14.0,0.64,3.25,11.0,16.0,3.0
434,0577,33,11.0,0.0,14.67,0.5,8.0,0.73,2.2,5.0,16.0,0.0
435,0577,34,14.0,0.0,15.08,0.6,8.0,0.56,2.33,6.0,16.0,0.0
436,0577,35,7.0,0.0,15.08,0.6,7.0,0.56,2.33,6.0,16.0,0.0
437,0577,36,12.0,0.0,15.3,1.0,8.0,0.52,2.4,4.0,4.0,0.0
438,0577,37,5.0,0.0,15.3,1.0,8.0,0.52,2.4,4.0,4.0,0.0
439,0577,38,22.0,5.0,13.52,0.67,20.0,0.46,1.83,7.0,9.0,0.0
440,0577,39,32.0,4.0,14.76,1.16,20.0,0.6,2.46,11.0,10.0,3.0
442,0581,1,29.0,7.0,11.59,2.13,16.0,0.43,2.42,8.0,6.0,0.0
443,0581,2,73.0,10.0,12.41,1.78,32.0,0.71,2.7,18.0,23.0,4.0
444,0581,3,59.0,6.0,10.55,2.07,32.0,0.66,2.81,11.0,15.0,4.0
445,0581,4,23.0,3.0,12.33,1.91,10.0,0.44,2.3,7.0,6.0,0.0
446,0581,5,73.0,9.0,10.66,2.17,29.0,0.68,3.32,11.0,18.0,0.0
447,0581,6,84.0,5.0,12.36,1.61,42.0,0.87,2.63,20.0,23.0,11.0
448,0581,7,58.0,11.0,12.76,2.67,19.0,0.53,3.22,15.0,13.0,11.0
